Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
MONITOR,"University of Colorado, Boulder (CU-Boulder)",ACTIVE,,5/8/15,3/10/20,Resource Efficiency,Frequency Combs for Methane Detection,,
MONITOR,Aeris Technologies,ALUMNI,For-profit,4/15/15,8/26/18,Resource Efficiency,Methane Leak Detection System,Persist,
MONITOR,General Electric (GE) Global Research,ALUMNI,For-profit,5/8/15,8/7/18,Resource Efficiency,Optical Fibers for Methane Detection,Persist,https://www.scientia.global/dr-bill-challener-exploiting-fibre-optics-for-detecting-pipeline-leaks/
MONITOR,IBM T.J. Watson Research Center,ALUMNI,For-profit,8/10/15,8/9/18,Resource Efficiency,Multi-Modal Methane Measurement System,Pivot,
MONITOR,Maxion Technologies,ALUMNI,For-profit,6/2/15,12/1/18,Resource Efficiency,Tunable Laser for Methane Detection,Persist,
MONITOR,Palo Alto Research Center (PARC),ALUMNI,For-profit,5/11/15,9/30/18,Resource Efficiency,System of Printed Hybrid Intelligent Nano-Chemical Sensors (SPHINCS),Persist,
MONITOR,Physical Sciences Inc. (PSI),ALUMNI,For-profit,4/16/15,12/31/18,Resource Efficiency,Methane Leak Detection System,Pivot,
MONITOR,Rebellion Photonics,ALUMNI,For-profit,4/16/15,8/15/18,Resource Efficiency,Portable Methane Detection System,Pivot,
MONITOR,LI-COR Biosciences,CANCELLED,For-profit,5/15/15,8/12/17,Resource Efficiency,Optical Sensors for Methane Detection,Perish,Stuck with original technology
MOSAIC,California Institute of Technology (Caltech),ACTIVE,,2/11/16,2/10/19,Distributed Generation,Micro-Optical Tandem Luminescent Solar Concentrator,,
